Partido,Fecha/Lugar,Categoria 1,Categoria 2,Categoria 3
"Match1：Catar vs Ecuador,""20th Nov,2022 19:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$870,$1125,$1480"
"Match 17: Gales vs Ir�n,""25th Nov,2022 13:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$330,,"
"Match 18: Catar vs Senegal,""25th Nov,2022 16:00( Local time) Catar | Doha | Al Thumama Stadium"",$420,$570,$720"
"Match 19: Pa�ses Bajos vs Ecuador,""25th Nov,2022 19:00( Local time) Catar | Doha | Khalifa International Stadium"",$420,$420,$720"
"Match 20: Inglaterra vs Estados Unidos,""25th Nov,2022 22:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$200,,"
"Match 21: T�nez vs Australia,""26th Nov,2022 13:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$270,,"
"Match 22: Poland vs Arabia Saudita,""26th Nov,2022 16:00( Local time) Catar | Al Rayyan | Education City Stadium"",$320,$580,$600"
"Match 23: Francia vs Dinamarca,""26th Nov,2022 19:00( Local time) Catar | Doha | Stadium 974"",$270,$420,$660"
"Match 24: Argentina vs M�xico,""26th Nov,2022 22:00( Local time) Catar | Doha | LEstados Unidosil Stadium"",$450,,"
"Match 25: Japan vs Costa Rica,""27th Nov,2022 13:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$420,,"
"Match 26: B�lgica vs Marruecos,""27th Nov,2022 16:00( Local time) Catar | Doha | Al Thumama Stadium"",$200,$225,$570"
"Match 27: Croacia vs Canad�,""27th Nov,2022 19:00( Local time) Catar | Doha | Khalifa International Stadium"",$320,$420,$540"
"Match 28: Espa�a vs Alemania,""27th Nov,2022 22:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$420,$600,$750"
"Match 29: Camer�n vs Serbia,""28th Nov,2022 13:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$420,,"
"Match 30: Corea del Sur vs Ghana,""28th Nov,2022 16:00( Local time) Catar | Al Rayyan | Education City Stadium"",$225,,"
"Match 31: Brasil vs Suiza,""28th Nov,2022 19:00( Local time) Catar | Doha | Stadium 974"",$420,$680,$750"
"Match 32: Portugal vs Uruguay,""28th Nov,2022 22:00( Local time) Catar | Doha | LEstados Unidosil Stadium"",$200,,"
"Match 33: Gales vs Inglaterra,""29th Nov,2022 22:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$300,$420,$570"
"Match 34: Ir�n vs Estados Unidos,""29th Nov,2022 22:00( Local time) Catar | Doha | Al Thumama Stadium"",$225,,"
"Match 35: Ecuador vs Senegal,""29th Nov,2022 18:00( Local time) Catar | Doha | Khalifa International Stadium"",$225,,"
"Match 36: Pa�ses Bajos vs Catar,""29th Nov,2022 18:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$200,$280,$420"
"Match 37: Australia vs Dinamarca,""30th Nov,2022 18:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$270,$420,$490"
"Match 38: T�nez vs Francia,""30th Nov,2022 18:00( Local time) Catar | Al Rayyan | Education City Stadium"",$570,,"
"Match 39: Poland vs Argentina,""30th Nov,2022 22:00( Local time) Catar | Doha | Stadium 974"",$420,$900,$1300"
"Match 40: Arabia Saudita vs M�xico,""30th Nov,2022 22:00( Local time) Catar | Doha | LEstados Unidosil Stadium"",$200,,"
"Match 41: Croacia vs B�lgica,""1st Dec,2022 18:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$320,$450,$649"
"Match 42: Canad� vs Marruecos,""1st Dec,2022 18:00( Local time) Catar | Doha | Al Thumama Stadium"",$320,$420,$540"
"Match 43: Japan vs Espa�a,""1st Dec,2022 22:00( Local time) Catar | Doha | Khalifa International Stadium"",$225,,"
"Match 44: Costa Rica vs Alemania,""1st Dec,2022 22:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$180,,"
"Match 45: Ghana vs Uruguay,""2nd Dec,2022 18:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$420,,"
"Match 46: Corea del Sur vs Portugal,""2nd Dec,2022 18:00( Local time) Catar | Al Rayyan | Education City Stadium"",$480,,"
"Match 47: Serbia vs Suiza,""2nd Dec,2022 22:00( Local time) Catar | Doha | Stadium 974"",$420,,"
"Match 48: Camer�n vs Brasil,""2nd Dec,2022 22:00( Local time) Catar | Doha | LEstados Unidosil Stadium"",$251,$390,$600"
"Match49：1A vs 2B,""3rd Dec,2022 18:00( Local time) Catar | Doha | Khalifa International Stadium"",$345,$540,$720"
"Match50：1C vs 2D,""3rd Dec,2022 22:00( Local time) Catar | Al Rayyan | Ahmad Bin Ali Stadium"",$700,$900,$1200"
"Match51：1B vs 2A,""4th Dec,2022 22:00( Local time) Catar | Al Khor | Al Bayt Stadium"",$380,$540,$700"
"Match52：1D vs 2C,""4th Dec,2022 18:00( Local time) Catar | Doha | Al Thumama Stadium"",$450,,"
"Match 53：1E vs 2F,""5th Dec,2022 18:00( Local time) Catar | Al Wakrah | Al Janoub Stadium"",$345,$540,$690"
"Match54：1G vs 2H,""5th Dec,2022 22:00( Local time) Catar | Doha | Stadium 974"",$345,,"
"Match55：1F vs 2E,""6th Dec,2022 18:00( Local time) Catar | Al Rayyan | Education City Stadium"",$345,$540,$790"
